"Username","Comment"
"Yegane Eliyeva","Allah can saqliqi versin xalqimiza beleHikmetler cox lazimdir"
"Eltekin Hümbət Şair","Men deyimde kimdi?!
Fexrimizdi
Qürurumuzdu
Gücümüzdü"
"Aslanova Nazile","VƏTƏN OĞLÜ ALLAH SƏNİ QORUSUN.."
"murad Həşımoff","Qələbə caldıg qardaş 🇦🇿❤️"
"Mila Milamila","Cox sevirem bu insanln intelektini savadlnl temkinini aglllnl Bravo 👏"
"Fazil Haciyev","Allah uzun ömür versin Hikmet haciyeve 🙏🙏"
"Səbire Babayeva","Siz  tekce Prezidentin yox Azerbaycanln sag elisiz allah sizi qorysun"
"Hshsgterxan Hshshd","BİZ FEXR EDİRİK  HİKMET HAClYEVNEN ALLAH QORUSUN AMİN ."
"Nazaket Gasanova","Allah gorusun. Çox medeni və savadlı insandı 👍"
"Fexriyye Babayeva","Allah qorusun qardawiizi,Allah ona omur versin,Vetene bele ogullar lazimdir,"
"Солмаз Гусейнова","Allah gorusun. Rəbbim uzun xoşbəxt uğurlu ömür nəsib etsin. Amin. Millətin fəxridir!"
"Seymur Nesibov","Adı kimi Hikmətdi.Mawallah."
"Lalə Abbaslı","Hikmət Hacıyev mənim dayımın qrup yoldaşı olub"
"AZERI PUBG","Hikmet beyi Cox sevirik Allah onu qorusun var ol ezizimiz♥️👍"
"Elnur Sadiqov","Uca Allah öz Hikmətini belə dəyərli Hikmətlərin üstündən əskik eləməsin.
Ləzzət eliyir bu adam mənə.
Allah saxlasın.🇦🇿❤💪"
"Nazile Qaziyeva","Allah qorusun. Savadli sadə və gözəl insan."
"Adile Ismayilova","Hikmet haciywve chooox boyuk hotmetim var chox savadli insandiallah onu gorusun hemishe ele sade olsun ve xalgin ichinde olsun"
"Gulu Gulu","Maşallah cox gözəl insandır Allah saxlasın amin amin ."
"Gulzar Haciyeva","Allah qorusun 🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿"
"Turqay Alili","Yasa.
Ogulsan.
Fexr edirik seninle, Hikmet Haciyev."
"omər Eliyev","Hakkin odenmez ,Allah yardımcın olsun"
"20 20","Allah senin kimi oğullardan çox versin bizim ölkəyə💪💪🙏"
"Səkinə Hüseyinova","Hikmet Hacıyev esl Xarici işlər Naziri vezifesine layiqdir ondanda uca vezifelere allah qorusun"
"Şahzadə İldırım","Yerinə layiqlidir!!!! Səbrli, təmkinli, müdrik və cavan! ALLAH Vətən və xalq təəssübkeşlərini qorusun!"
"Denrid Maks","Ne qeder alqish size azdir Allah qorusun bu balamizi Hikmet Haciyevi🇦🇿❤🇹🇷"
"Nicat Ezizli","Sadalìy isa piyada gedir bu insan allah qorusun xalga bela mamur lazlmdlr"
"b r","Allah yaxwi qeyretli vicdani werefli ogulari qorusun Amin 🙏🇦🇿♥️🇹🇷🇵🇰✊"
"Irane Agayev","Hikmet Haciyev gozel insan. Allah Sizi var elesin"
"Efe Ayazoğlu","Hepsinden ALLAH razı olsun"
"Adalat Kurbanova","Allah gorusun,cox savadlı,mədəni,vətənini sevən vətandaşdir."
"Mini Telecom","Allah ona can sağlığı versin.Üzündə nur var.Əsl vətən oğludur."
"Fəzail Həkimov","Allah qorusun. Allah can sağlığı versin İnşaAllah"
"Nurlan Mammadov","Bütün İşlər Naziri ❤️"
"Али","Аллаh горусун . Чох медени , савадлы инсанды .
Фехримизди !"
"Miri Seyidov","Allah omur versin cox gozel insandi🤲🤲"
"Elnur Esgerov","Allah sizi bednezerden qorusun sizinle fexr edirik düşmanlarımızi allah xar elesin"
"ALLAHA SEVDALI","Allah ondan çox çox razı olsun. Çox gözəl qəlbə sahib, gözəl siyasətçi.Allah canına dəyməsin Amin inşa Allah 🙌🏻"
